"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00053","finished","-","","","2025-04-25T08:10:22.000Z","1303","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00053.yaml","longbench","","","","musique","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","17207","16371.73","17207","8.76","","0.00006212628936475146","","37.33","1","27.66688060760498"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00052","finished","-","","","2025-04-25T08:07:55.000Z","583","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00052.yaml","longbench","","","","2wikimqa","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6025","7575.015","6025","6.52","","0.00017279060889681578","","56.5","1","27.66367483139038"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00050","finished","-","","","2025-04-25T08:04:42.000Z","707","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00050.yaml","longbench","","","","multifieldqa_en","0","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","9924","7198.52","9924","29.19333333333333","","0.0001938149754756793","","48.26","0.3636363636363637","27.698280334472656"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00051","finished","-","","","2025-04-25T08:04:42.000Z","1017","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00051.yaml","longbench","","","","hotpotqa","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6621","13475.455","6621","5.89","","0.00008813655980975478","","59.09","1","27.664333820343018"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00049","finished","-","","","2025-04-25T08:02:49.000Z","655","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00049.yaml","longbench","","","","qasper","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6909","5221.42","6909","28.41","","0.0002264812231859225","","38.17","0.4","27.66422748565674"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00048","finished","-","","","2025-04-25T07:57:54.000Z","3166","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00048.yaml","longbench","","","","narrativeqa","8","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","32994","29957.975","32994","17.015","","0.00004914631991457161","","26.41","0.15384615384615383","27.665768146514893"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00047","finished","-","","","2025-04-25T07:55:08.000Z","3764","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00047.yaml","longbench","","","","repobench-p","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4998","10931.618","4998","63.778","","0.0001294151394040892","","40.53","0.48","27.698221683502197"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00046","finished","-","","","2025-04-25T07:45:50.000Z","2328","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00046.yaml","longbench","","","","lcc","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","1483","3225.888","1483","64","","0.00042873867200585424","","55.01","1","27.698173999786377"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00045","finished","-","","","2025-04-25T07:45:26.000Z","1041","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00045.yaml","longbench","","","","passage_retrieval_en","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","14443","12944.12","14443","13.53","","0.00007794958984045504","","97.5","1","27.667957305908203"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00044","finished","-","","","2025-04-25T07:40:53.000Z","1428","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00044.yaml","longbench","","","","passage_count","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","9261","15440.69","9261","25.61","","0.00007304470930019384","","8.38","0","27.66723585128784"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00043","finished","-","","","2025-04-25T07:35:18.000Z","2103","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00043.yaml","longbench","","","","samsum","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","15779","9196.89","15779","127.27","","0.00015764750686920445","","27.3","0.3846153798816568","27.734581470489506"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00042","finished","-","","","2025-04-25T07:25:52.000Z","1196","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00042.yaml","longbench","","","","triviaqa","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","3056","12208.04","3056","28.175","","0.00012263656266205122","","83.59","1","27.68017292022705"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00041","finished","-","","","2025-04-25T07:25:51.000Z","1173","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00041.yaml","longbench","","","","trec","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4440","6843.935","4440","63.985","","0.00018398760766529575","","52.5","0","27.69822597503662"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00040","finished","-","","","2025-04-25T07:21:37.000Z","4931","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00040.yaml","longbench","","","","multi_news","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","332","2715.675","332","414.225","","0.000607490545145527","","17.24","0.2352941131344568","27.946297645568848"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00039","finished","-","","","2025-04-25T07:19:37.000Z","2130","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00039.yaml","longbench","","","","qmsum","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","8265","13975.69","8265","95.14","","0.00008761203814127868","","21.38","0.27450979896962713","27.746493339538578"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00038","finished","-","","","2025-04-25T07:18:18.000Z","5102","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00038.yaml","longbench","","","","gov_report","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6628","10652.425","6628","375.885","","0.00013064313532651164","","19.7","0.20283018375445008","27.89259624481201"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00037","finished","-","","","2025-04-25T07:13:22.000Z","1314","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00037.yaml","longbench","","","","musique","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","17207","16371.73","17207","9.195","","0.00006212628936475146","","34.96","1","27.666111946105957"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00036","finished","-","","","2025-04-25T07:09:50.000Z","586","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00036.yaml","longbench","","","","2wikimqa","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6025","7575.015","6025","7.185","","0.00017279060889681578","","55.28","1","27.66374158859253"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00035","finished","-","","","2025-04-25T07:08:22.000Z","1049","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00035.yaml","longbench","","","","hotpotqa","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6621","13475.455","6621","7.255","","0.00008813655980975478","","57.64","1","27.680195331573486"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00034","finished","-","","","2025-04-25T07:07:51.000Z","625","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00034.yaml","longbench","","","","multifieldqa_en","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","9924","7198.52","9924","30.54","","0.0001938149754756793","","44.54","0.41509433962264153","27.698280334472656"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00033","finished","-","","","2025-04-25T07:07:51.000Z","824","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00033.yaml","longbench","","","","qasper","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6909","5221.42","6909","42.215","","0.0002264812231859225","","31.64","0.07272727272727272","27.66422748565674"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00032","finished","-","","","2025-04-25T07:00:56.000Z","3417","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00032.yaml","longbench","","","","narrativeqa","8","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","32994","29957.975","32994","19.01","","0.00004914631991457161","","24.93","0.2352941176470588","27.664068698883057"
